"Office","State","District","City","Party","Spent","Received","Debt","Contribution","Win"
"P","US",0,"BALTIMORE","DEM",6358420.32,6259942.64,3322.32,4689261.33,"No"
"H","AZ",5,"MESA","REP",153355.81,152409.84,1e+05,52575.12,"No"
"H","GA",3,"PEACHTREE CITY","REP",530547.01,528762.17,253060,280547.01,"No"
"H","TX",15,"EDINBURG","DEM",474677.18,478221.34,288625,186010.98,"No"
"P","US",0,"NEW YORK","REP",547267.55,535130.57,20000,511332.35,"No"
"H","MI",10,"ST. CLAIR","REP",404318.51,401598.96,33500,370152.6,"No"
"S","LA",0,"LAFAYETTE","DEM",164707,164587,78372,75007,"No"
"H","CA",46,"ORANGE","REP",30959,29135.64,13974.27,18918,"No"
"H","IN",9,"BLOOMINGTON","REP",31777.63,31777.63,25290.95,28512.43,"No"
"H","NY",13,"NEW YORK","DEM",172865.78,204022.24,22389.4,172674.18,"No"
"H","FL",9,"ORLANDO","DEM",780443.78,770177.02,4000,773789.34,"No"
"H","FL",4,"JACKSONVILLE","REP",234539.64,232966.93,118790.01,125801.64,"No"
"H","PR",0,"MAYAG?EZ","DEM",210962.86,207382.25,7980,210962.86,"No"
"H","MS",1,"EUROPA","REP",107933.48,108000.49,115911.42,107884.26,"No"
"H","MD",8,"BETHESDA","DEM",291231.22,283160.79,26086.17,290645.62,"No"
"P","US",0,"MIAMI","REP",48126114.3,51191082.94,1532657.12,45818117.38,"No"
"P","US",0,"VERONA","REP",1858380.94,1849450.62,989309.97,1380637.19,"No"
"H","WY",0,"CHEYENNE","REP",94072,93539.17,42800,50966,"No"
"S","CA",0,"LOS ANGELES","DEM",14332,12455.2,1009,12678,"No"
"S","IN",0,"HOWE","REP",2439394,2907440.62,23415,2383825,"No"
"H","NV",3,"LAS VEGAS","REP",150819.76,46779.68,112336.24,46457.67,"No"
"H","FL",2,"TALLAHASSEE","REP",1095597.52,1032367.05,45000,1050597.52,"No"
"H","DE",0,"WILMINGTON","DEM",769354.68,756861.26,20000,749249.62,"No"
"H","PR",0,"SAN JUAN","OTH",22000,27285.23,9967.6,22000,"No"
"P","US",0,"MIDDLETON","REP",9041496.4,9011325.11,381971.8,8397920.15,"No"
"H","IN",9,"GREENWOOD","REP",309603.49,306903.49,113700,187478.49,"No"
"H","NY",22,"CORTLAND","REP",849781.65,843723.15,427506.3,483991.4,"No"
"H","FL",1,"SANTA ROSA BEACH","REP",79026,76745,38305,34026,"No"
"H","NY",13,"NEW YORK","DEM",942504.16,877019.11,198737.72,943192.88,"No"
"H","IN",9,"CARMEL","REP",300885.58,294147.57,4384.03,300885.58,"No"
"H","MI",10,"SHELBY TOWNSHIP","REP",170991.74,170829.76,158943.04,19923.74,"No"
"H","VA",5,"MONETA","REP",525515.04,498906.6,5e+05,25515.04,"No"
"H","CA",24,"SAN LUIS OBISPO","DEM",76326,76326,19446.97,47733.93,"No"
"H","PA",16,"MANHEIM","REP",659814.92,661637.87,764682.09,109719.82,"No"
"H","FL",9,"ORLANDO","DEM",535036.48,397859.83,154232.85,420036.48,"No"
"H","AZ",1,"DILKON","REP",38049,36953,35324,2725,"No"
"H","TX",15,"EDINBURG","REP",80513.11,78947.29,8500,71913.11,"No"
"H","KY",1,"FULTON","REP",180479.19,179926.2,23543.39,155479.19,"No"
"S","NV",0,"SPARKS","REP",42896,42896,1348,165,"No"
"P","US",0,"SUNRISE","GRE",8234.2,6767.32,100,7969.2,"No"
"H","LA",5,"MONROE","DEM",9364,10895.87,15618.92,9364,"No"
"H","PR",0,"GUAYNABO","OTH",409651.02,451707.43,8490.75,409651.02,"No"
"P","US",0,"SHAWNEE","IND",10347,10189,9810,537,"No"
"H","TX",15,"MCALLEN","DEM",117148.79,121000.99,42946.68,58973.12,"No"
"P","US",0,"CHICAGO","DEM",1100421.65,1100421.65,1043472.46,35390.25,"No"
"H","TX",19,"PLAINS","REP",52525,52525,6521.63,11525,"No"
"H","GA",3,"NEWNAN","REP",6859.97,6547.34,5600,1182.25,"No"
"S","NV",0,"LAS VEGAS","REP",59239,65298,1806,59239,"No"
"H","TX",19,"SLATON","REP",3550,11264.95,1600,3550,"No"
"S","NV",0,"LAS VEGAS","IND",2215,1200,2000,215,"No"
"P","US",0,"GASTONIA","DEM",62776,10418.44,25874,12651.15,"No"
"H","FL",1,"PENSACOLA","DEM",258.2,238.2,238.2,20,"No"
"H","TX",15,"MERCEDES","DEM",20363.41,19187.99,9000,11363.41,"No"
"H","MD",4,"UPPER MARLBORO","DEM",20624,20469.48,8000,12624,"No"
"H","PR",0,"SAN JUAN","OTH",26254.5,24728.45,10054.5,16200,"No"
"P","US",0,"WARWICK","DEM",418135.75,418163.8,363694.14,54441.61,"No"
"P","US",0,"ROCKFORD","REP",642,218,600,642,"No"
"S","CA",0,"TEHACHAPI","REP",48900,11761,40000,8900,"No"
"S","CA",0,"REDWOOD CITY","DEM",30949,30949,1098,20949,"No"
"P","US",0,"HOUSTON","UNK",1010,830,1,760,"No"
