"Office","State","District","City","Party","Spent","Received","Debt","Contribution","Win"
"H","UT",1,"BRIGHAM CITY","REP",953572.8,647963.7,43859.2,953494.24,"Yes"
"H","NY",3,"JERICHO","DEM",2100279.34,1771065.81,30786.45,2085114.81,"Yes"
"H","PA",17,"SCRANTON","DEM",910963.12,740867.4,415000,883482.83,"Yes"
"H","TX",9,"HOUSTON","DEM",641678.99,550373.98,50000,528106.92,"Yes"
"H","NJ",9,"TEANECK","DEM",1609298.9,1074702.16,20000,1608405.39,"Yes"
"H","CA",23,"BAKERSFIELD","REP",7530059.03,7509497.46,10000,4437636.51,"Yes"
"H","TX",17,"BRYAN","REP",1699740.88,1586633.14,11900,1669025.27,"Yes"
"H","NY",18,"NEWBURGH","DEM",3488071.6,1461156.5,903.66,3441310.6,"Yes"
"H","CA",52,"SAN DIEGO","DEM",3390677.72,2153627.02,250000,3342555.94,"Yes"
"H","NV",3,"HENDERSON","DEM",1326755.02,1173662.73,15000,1291755.02,"Yes"
"H","CA",6,"SACRAMENTO","DEM",1055474.27,922804.65,1400,1055275.61,"Yes"
"H","HI",1,"HONOLULU","DEM",813299.23,403738.91,2e+05,813299.23,"Yes"
"H","CA",42,"CORONA","REP",1415665.32,1055228.31,2370.5,1408849.49,"Yes"
"H","WV",3,"HUNTINGTON","REP",1216893.59,501937.63,5045.46,1216575.19,"Yes"
"H","CA",39,"FULLERTON","REP",3917823.76,2974147.02,89025.58,3782359.87,"Yes"
"H","CA",17,"SANTA CLARA","DEM",3508019.75,3327336.15,280805.01,3500234.23,"Yes"
"H","NE",2,"PAPILLION","REP",1264140.94,1034623.34,25000,1264140.94,"Yes"
"H","RI",2,"WARWICK","DEM",1105504.4,697770.6,22001.76,1094217.66,"Yes"
"H","CA",7,"ELK GROVE","DEM",3665912.7,3387820.43,319800,3661038.65,"Yes"
"H","NV",4,"LAS VEGAS","DEM",1890902.2,1846747.07,18456,1866351.7,"Yes"
"H","CA",43,"LOS ANGELES","DEM",819617.3,721817.17,74165.15,619547.3,"Yes"
"H","WA",4,"SUNNYSIDE","REP",1207493.81,893295.97,40657.98,1186207.48,"Yes"
"H","NY",22,"UTICA","REP",725135.73,607653.09,170000,664677.78,"Yes"
"H","NV",1,"LAS VEGAS","DEM",880491.35,730865.23,5000,879865.33,"Yes"
"H","CA",10,"TURLOCK","REP",2752532,2690220.25,1355.56,2612949.11,"Yes"
"H","CA",51,"SAN DIEGO","DEM",1065361.37,905936.67,1300,934578.59,"Yes"
"H","CA",9,"STOCKTON","DEM",1146216.46,985595.98,2954.15,1144114.88,"Yes"
"H","CA",46,"SANTA ANA","DEM",845400.97,717395.5,12990.04,841830.92,"Yes"
"H","TX",15,"MCALLEN","DEM",2342173,2233828.65,5e+05,492173,"Yes"
"H","TX",29,"HOUSTON","DEM",1735678.83,1812940.85,200,1734689.68,"Yes"
"H","CA",32,"NORWALK","DEM",725811.69,807996.32,125.62,716355,"Yes"
"H","LA",3,"BREAUX BRIDGE","REP",1350847.67,1009934.43,250000,1100481.91,"Yes"
"H","AZ",7,"PHOENIX","DEM",1025225.14,669300.92,2500,1025225.14,"Yes"
"H","LA",4,"BENTON","REP",606029.98,464930.06,31500,556029.98,"Yes"
"H","CA",44,"SAN PEDRO","DEM",1467746.29,1225625.44,13277.89,1467446.28,"Yes"
"H","IL",10,"DEERFIELD","DEM",4415864.47,4270373.18,130000,4277241.68,"Yes"
"H","CA",35,"SAN DIMAS","REP",3747.65,3747.65,245,3502.65,"No"
"H","CA",15,"LIVERMORE","REP",632.75,632.75,100,532.75,"No"
"S","KS",0,"LAWRENCE","DEM",35026,29603,20000,15026,"No"
"S","OR",0,"MEDFORD","DEM",8735,8733,702,5735,"No"
"S","HI",0,"HONOLULU","REP",53945,40579,18187,31943,"No"
"H","WA",6,"WESTPORT","IND",9054,9171,5000,3054,"No"
"H","MI",12,"TAYLOR","REP",38375,8701,60000,18375,"No"
"H","OH",12,"HEATH","DEM",28043.95,18413.17,1000,27043.95,"No"
"H","MA",9,"EAST FALMOUTH","REP",260720.8,205609.17,62464.2,218720.8,"No"
"H","CA",9,"LODI","REP",48462.25,34903.58,16994.59,48462.25,"No"
"H","CA",49,"VISTA","DEM",1261991.17,975048.75,33543.98,1260961.06,"No"
